entity_type,entity_id,source_type,source_name,source_url_or_ref,verification_note
sampling_relation,SMP015,secondary_reference,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Part of the long recursive sample chain example.
sampling_relation,SMP016,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Added as a same-artist production-lineage edge for denser graph traversal.
sampling_relation,SMP017,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Added to connect early Kanye sample-based tracks into one local chain.
sampling_relation,SMP018,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Album-era lineage edge used to strengthen recursive demo coverage.
sampling_relation,SMP019,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Jay-Z/Kanye network lineage edge for recursion demos.
sampling_relation,SMP020,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Intra-era lineage edge for denser traversal.
sampling_relation,SMP021,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Intra-era lineage edge for denser traversal.
sampling_relation,SMP022,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Cross-project lineage edge connecting Jay-Z/Kanye cluster.
sampling_relation,SMP023,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Cross-track lineage edge within the same album period.
sampling_relation,SMP024,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,East Coast lineage edge connecting posse-cut era to earlier canonical rap sample use.
sampling_relation,SMP025,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Boom-bap lineage edge for denser graph coverage.
sampling_relation,SMP026,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Rap lineage edge linking 1990s source material to later storytelling rap.
sampling_relation,SMP027,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Artist-lineage edge for recursive demos.
sampling_relation,SMP028,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Artist-lineage edge for recursive demos.
sampling_relation,SMP029,manual_curation,WhoSampled / teaching examples / curated lineage edges,who-sampled style pair verification or manually curated lineage edge,Artist-lineage edge for recursive demos.
cover_relation,COV001,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Famous Whitney Houston cover of Dolly Parton original.
cover_relation,COV002,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Earlier major reinterpretation following the Dolly Parton original.
cover_relation,COV003,manual_curation,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Added to strengthen multi-version mother-song tree for the database project.
cover_relation,COV004,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Aretha Franklin version reframes the song significantly.
cover_relation,COV005,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Cross-era cover example used for temporal comparison.
cover_relation,COV006,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Canonical later interpretation of Leonard Cohen original.
cover_relation,COV007,manual_curation,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Soundtrack-associated reinterpretation to enlarge cover family.
cover_relation,COV008,manual_curation,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,A cappella reinterpretation to enlarge cover family.
cover_relation,COV009,manual_curation,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Additional modern reinterpretation to create 4-cover mother-song tree.
cover_relation,COV010,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Johnny Cash version is usually discussed as a reinterpretive cover.
cover_relation,COV011,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Fugees version functions as a prominent reinterpretation.
cover_relation,COV012,secondary_reference,manual cover-family curation,cover tree assembled from public discography knowledge and manual organization,Live cover version used to demonstrate version-type differences.
feature_table,track_audio_features,manual_curation,Curated feature vectors,,Audio features are reasonable proof-of-concept values designed to create visibly separable clusters for SQL and 3D visualization.
